section,column,value,type
subcatchments,Rain_Gage,default,character
subcatchments,CurbLen,0,numeric
subcatchments,Snowpack, ,character
subcatchments,PercImperv,25,numeric
subcatchments,Slope,0.5,numeric
subcatchments,Width,500,numeric
subareas,N_Imperv,0.01,numeric
subareas,N_Perv,0.1,numeric
subareas,S_Imperv,0.05,numeric
subareas,S_Perv,0.05,numeric
subareas,Pct_Zero,25,numeric
subareas,RouteTo,OUTLET,character
subareas,PctRouted,100,numeric
infiltration_horton,MaxRate,3,numeric
infiltration_horton,MinRate,0.5,numeric
infiltration_horton,Decay,4,numeric
infiltration_horton,DryTime,7,numeric
infiltration_horton,MaxInfl,0,numeric
infiltration_green_ampt,Suction,3,numeric
infiltration_green_ampt,HydCon,0.5,numeric
infiltration_green_ampt,IMDMax,4,numeric
junction,Y,0,numeric
junction,Ysur,0,numeric
junction,Apond,0,numeric
outfalls,Gated,NO,character
outfalls,StageData, ,character
outfalls,RouteTo, ,character
conduits,Roughness,0.018,numeric
xsections,Shape,CIRCULAR,character
xsections,Geom1,3,numeric
xsections,Geom2,0,numeric
xsections,Geom3,0,numeric
xsections,Geom4,0,numeric
xsections,Barrels,1,numeric
options,FLOW_UNITS,CMS,character
options,INFILTRATION,HORTON,character
options,FLOW_ROUTING,KINWAVE,character
options,LINK_OFFSETS,DEPTH,character
options,FORCE_MAIN_EQUATION,H-W,character
options,IGNORE_RAINFALL,NO,character
options,IGNORE_SNOWMELT,YES,character
options,IGNORE_GROUNDWATER,YES,character
options,IGNORE_RDII,YES,character
options,IGNORE_ROUTING,YES,character
options,IGNORE_QUALITY,YES,character
options,ALLOW_PONDING,NO,character
options,SKIP_STEADY_STATE,NO,character
options,SYS_FLOW_TOL,5,character
options,LAT_FLOW_TOL,5,character
options,START_DATE,1/1/2017,character
options,START_TIME,0:00:00,character
options,END_DATE,1/1/2017,character
options,END_TIME,1:00:00,character
options,REPORT_START_DATE,1/1/2017,character
options,REPORT_START_TIME,1:00:00,character
options,SWEEP_START,1/1,character
options,SWEEP_END,12/31,character
options,DRY_DAYS,14,character
options,REPORT_STEP,0:15:00,character
options,WET_STEP,0:05:00,character
options,DRY_STEP,1:00:00,character
options,ROUTING_STEP,0:00:05,character
options,LENGTHENING_STEP,0,character
options,VARIABLE_STEP,0,character
options,MINIMUM_STEP,0.5,character
options,INERTIAL_DAMPING,NONE,character
options,NORMAL_FLOW_LIMITED,BOTH,character
options,MIN_SURFAREA,0,character
options,MIN_SLOPE,0,character
options,MAX_TRIALS,8,character
options,HEAD_TOLERANCE,0.0015,character
options,THREADS,1,character
options,TEMPDIR, ,character
report,INPUT,NO,character
report,CONTROLS,NO,character
report,SUBCATCHMENTS,ALL,character
report,NODES,ALL,character
report,LINKS,ALL,character
evaporation,CONSTANT,0,numeric
evaporation,DRY_ONLY,0,numeric
