type,section,key,n_skip,input_order,summary_order
input,aquifers,,,8,3
input,backdrop,,,39,
input,buildup,buildup,0,25,
input,conduits,conduits,0,15,9
input,controls,,,19,14
input,coordinates,,,34,
input,coverages,coverages,0,23,
input,curves,,,29,
input,dividers,dividers,0,,7
input,dwf,dwf,0,20,
input,evaporation,evaporation,0,3,
input,events,events,0,,
input,files,,,,
input,groundwater,,,9,
input,hydrographs,hydrographs,0,,
input,iiflows,iiflows,0,,
input,infiltration,,,7,
input,inflows,,,27,
input,junctions,junctions,0,12,5
input,labels,,,37,
input,landuses,,,22,16
input,LID_controls,lid_controls,0,10,17
input,LID_usage,lid_usage,0,11,
input,loadings,loadings,0,24,
input,losses,losses,0,,
input,map,,,33,
input,options,options,0,2,
input,orifices,orifices,0,,11
input,outfalls,,,13,6
input,outlets,outlets,0,,13
input,patterns,patterns,0,30,
input,pollutants,pollutants,0,21,15
input,polygons,,,36,
input,profiles,,,,
input,pumps,pumps,0,16,10
input,raingages,raingages,0,4,1
input,report,,,31,
input,snowpacks,snowpacks,0,,4
input,storage,,,14,8
input,subareas,,,6,
input,subcatchments,subcatchments,0,5,2
input,symbols,,,38,
input,tags,,,32,
input,temperature,temperature,0,,
input,timeseries,,,28,
input,title,,,1,
input,treatment,treatment,0,,18
input,vertices,,,35,
input,washoff,washoff,0,26,
input,weirs,,,17,12
input,xsections,,,18,
report,Element Count,,,,
report,Pollutant Summary,pollutant_summary,5,,
report,Landuse Summary,landuse_summary,5,,
report,Raingage Summary,raingage_summary,5,,
report,Subcatchment Summary,subcatchment_summary,5,,
report,Node Summary,node_summary,5,,
report,Link Summary,link_summary,5,,
report,Cross Section Summary,cross_section_summary,5,,
report,Analysis Options,,,,
report,Runoff Quantity Continuity,,,,
report,Runoff Quality Continuity,,,,
report,Groundwater Continuity,,,,
report,Flow Routing Continuity,,,,
report,Quality Routing Continuity,,,,
report,Highest Continuity Errors,,,,
report,Time-Step Critical Elements,,,,
report,Highest Flow Instability Indexes,,,,
report,Routing Time Step Summary,,,,
report,Subcatchment Runoff Summary,subcatchment_runoff_summary,6,,
report,LID Performance Summary,lid_performance_summary,6,,
report,Subcatchment Washoff Summary,,,,
report,Node Depth Summary,node_depth_summary,6,,
report,Node Inflow Summary,node_inflow_summary,7,,
report,Node Flooding Summary,node_flooding_summary,8,,
report,Outfall Loading Summary,,,,
report,Link Flow Summary,link_flow_summary,6,,
report,Conduit Surcharge Summary,conduit_surcharge_summary,5,,
report,Link Pollutant Load Summary,,,,
report,Pumping Summary,pumping_summary,6,,
report,Groundwater Summary,groundwater_summary,7,,
report,LID Control Summary,lid_control_summary,5,,
report,Node Surcharge Summary,node_surcharge_summary,7,,
report,Storage Volume Summary,storage_volume_summary,6,,
report,Flow Classification Summary,flow_classification_summary,5,,
